1	14 
2	7 
3	8 
4	2 
5	17 
6	10 
7	9 
8	11 
9	12 
10	1 
11	11 
12	10 
13	12 
14	5 
15	9 
16	16 
17	3 
18	5 
19	5 
20	4 
21	8 
22	17 
23	4 
24	4 
25	3 
26	4 
27	1 
28	6 
29	9 
30	10 
31	16 
32	4 
33	9 
34	11 
35	10 
36	12 
37	10 
38	14 
39	11 
40	1 
41	4 
42	2 
43	1 
44	13 
45	7 
46	10 
47	15 
48	1 
49	16 
50	13 
51	8 
52	16 
53	10 
54	8 
55	11 
56	11 
57	1 
58	4 
59	1 
60	16 
61	5 
62	4 
63	10 
64	4 
65	4 
66	8 
67	6 
68	8 
69	10 
70	14 
71	6 
72	14 
73	11 
74	6 
75	10 
76	14 
77	10 
78	6 
79	5 
80	17 
81	15 
82	6 
83	5 
84	5 
85	10 
86	14 
87	7 
88	1 
89	11 
90	16 
91	5 
92	6 
93	5 
94	7 
95	6 
96	2 
97	14 
98	15 
99	11 
100	3 
101	6 
102	12 
103	2 
104	14 
105	2 
106	1 
107	2 
108	4 
109	2 
110	7 
111	1 
112	1 
113	2 
114	15 
115	6 
116	17 
117	16 
118	9 
119	5 
120	13 
121	4 
122	1 
123	14 
124	4 
125	16 
126	8 
127	5 
128	2 
129	4 
130	14 
131	12 
132	12 
133	10 
134	8 
135	17 
136	6 
137	12 
138	3 
139	10 
140	6 
141	7 
142	2 
143	2 
144	17 
145	1 
146	1 
147	10 
148	16 
149	4 
150	9 
151	13 
152	13 
153	4 
154	15 
155	6 
156	1 
157	5 
158	12 
159	15 
160	1 
161	10 
162	4 
163	5 
164	10 
165	7 
166	14 
167	8 
168	11 
169	12 
170	2 
171	10 
172	13 
173	4 
174	10 
175	14 
176	7 
177	4 
178	10 
179	10 
180	9 
181	7 
182	8 
183	14 
184	8 
185	5 
186	16 
187	4 
188	1 
189	1 
190	1 
191	16 
192	17 
193	6 
194	10 
195	13 
196	13 
197	5 
198	5 
199	14 
200	5 
201	8 
202	11 
203	15 
204	2 
205	1 
206	15 
207	13 
208	11 
209	17 
210	15 
211	16 
212	16 
213	17 
214	1 
215	11 
216	3 
217	5 
218	4 
219	1 
220	4 
221	2 
222	5 
223	14 
224	5 
225	5 
226	8 
227	3 
228	15 
229	4 
230	16 
231	6 
232	16 
233	1 
234	16 
235	15 
236	2 
237	15 
238	15 
239	10 
240	2 
241	7 
242	10 
243	14 
244	17 
245	10 
246	2 
247	4 
248	15 
249	4 
250	14 
251	6 
252	6 
253	14 
254	14 
255	3 
256	10 
257	2 
258	12 
259	6 
260	15 
261	2 
262	5 
263	12 
264	5 
265	1 
266	14 
267	16 
268	4 
269	1 
270	4 
271	11 
272	1 
273	1 
274	17 
275	10 
276	4 
277	5 
278	4 
279	8 
280	8 
281	8 
282	4 
283	6 
284	2 
285	5 
286	12 
287	9 
288	2 
289	16 
290	8 
291	15 
292	9 
293	2 
294	14 
295	5 
296	3 
297	5 
298	16 
299	10 
300	8 
